Rdzenie procesora,Przyspieszenie
1099,9.9187726,
1100,9.9188458,
1101,9.9189189,
1102,9.9189919,
1103,9.9190647,
1104,9.9191375,
1105,9.9192101,
1106,9.9192825,
1107,9.9193548,
1108,9.9194270,
1109,9.9194991,
1110,9.9195710,
1111,9.9196429,
1112,9.9197145,
1113,9.9197861,
1114,9.9198575,
1115,9.9199288,
1116,9.9200000,
1117,9.9200710,
1118,9.9201420,
1119,9.9202128,
1120,9.9202834,
1121,9.9203540,
1122,9.9204244,
1123,9.9204947,
1124,9.9205649,
1125,9.9206349,
1126,9.9207048,
1127,9.9207746,
1128,9.9208443,
1129,9.9209139,
1130,9.9209833,
1131,9.9210526,
1132,9.9211218,
1133,9.9211909,
1134,9.9212598,
1135,9.9213287,
1136,9.9213974,
1137,9.9214660,
1138,9.9215344,
1139,9.9216028,
1140,9.9216710,
1141,9.9217391,
1142,9.9218071,
1143,9.9218750,
1144,9.9219428,
1145,9.9220104,
1146,9.9220779,
1147,9.9221453,
1148,9.9222126,
1149,9.9222798,
1150,9.9223469,
1151,9.9224138,
1152,9.9224806,
1153,9.9225473,
1154,9.9226139,
1155,9.9226804,
1156,9.9227468,
1157,9.9228130,
1158,9.9228792,
1159,9.9229452,
1160,9.9230111,
1161,9.9230769,
1162,9.9231426,
1163,9.9232082,
1164,9.9232737,
1165,9.9233390,
1166,9.9234043,
1167,9.9234694,
1168,9.9235344,
1169,9.9235993,
1170,9.9236641,
1171,9.9237288,
1172,9.9237934,
1173,9.9238579,
1174,9.9239222,
1175,9.9239865,
1176,9.9240506,
1177,9.9241147,
1178,9.9241786,
1179,9.9242424,
1180,9.9243061,
1181,9.9243697,
1182,9.9244332,
1183,9.9244966,
1184,9.9245599,
1185,9.9246231,
1186,9.9246862,
1187,9.9247492,
1188,9.9248120,
1189,9.9248748,
1190,9.9249374,
1191,9.9250000,
1192,9.9250624,
1193,9.9251248,
1194,9.9251870,
1195,9.9252492,
1196,9.9253112,
1197,9.9253731,
